type    ,place,version,name                   ,title                                 ,description1                         ,description2,link                                                                     ,startShow         ,endShow           ,color  ,banner                                                                                                    ,banner-web                                                                                                ,web-link
ACTIVITY,HOME ,-1     ,NFT Collection         ,NFT Collection Live now on loopring.io,NFT creation with collection support.       ,            ,https://loopring.io/#/document/collection_landing_en.md?noheader&nofooter,09/05/2022 0:00:00 ,10/08/2022 0:00:00,default,https://static.loopring.io/events/2022/09/activities/collection_banner.en.webp                            ,https://static.loopring.io/events/2022/09/activities/collection_banner.en.webp                            ,[self]/nft/myCollection
ACTIVITY,HOME ,7      ,NFT Trading Competition,Trade NFTs via Loopring L2            ,1900 Loopheads up for grabs!         ,            ,https://loopring.io/#/race-event/2022-09?type=nft_trading_competition_7  ,09/19/2022 0:00:00,11/25/2022 0:00:00,default,https://static.loopring.io/events/2022/09/activities/nft_trading_competition_7_notification_banner.en.webp,https://static.loopring.io/events/2022/09/activities/nft_trading_competition_7_notification_banner.en.webp,
ACTIVITY,HOME ,-1     ,Dual Investment        ,A new way to earn on L2.              ,Buy low or sell high and enjoy a high yield.,            ,https://loopring.io/#/document/dual_investment_landing_en.md             ,09/23/2022 14:00:00,10/26/2022 0:00:00,default,https://static.loopring.io/events/2022/09/activities/dual_invest_banner.en.webp                       ,https://static.loopring.io/events/2022/09/activities/dual_invest_banner.en.webp                       ,[self]/invest/dual
