type    ,place,version,name    ,title                                       ,description1                                ,description2                                ,link                                                                                                   ,startShow          ,endShow            ,color  ,banner                                                                  ,banner-web                                                              ,web-link
ACTIVITY,HOME ,-1     ,lido    ,ETH staking via Loopring L2 is live!        ,Participate into ETH staking to own rewards.,                                            ,https://loopring.io/#/document/eth_stacking.en.md                                                      ,08/09/2022 10:00:00,09/08/2022 10:00:00,default,https://static.loopring.io/events/2022/08/activities/ETHstacking.en.webp,https://static.loopring.io/events/2022/08/activities/ETHstacking.en.webp,[self]/invest/defi
ACTIVITY,HOME ,-1     ,vote066b,Liquidity provider protocol fee distribution,September Single choice voting              ,Duration: Aug 22 00:00 -  Aug 24 00:00 (UTC),https://vote.loopring.io/#/proposal/0x35ed127d0b297b9d848de4ffc054951134c3afe6c458f80859fc4ffb1600066b?,08/22/2022 0:00:00 ,08/24/2022 0:00:00 ,primary,https://static.loopring.io/events/2022/08/activities/vote066b.en.webp   ,https://static.loopring.io/events/2022/08/activities/vote066b.en.webp   ,
